generation,operator,NE,EHR,IR,cEHR,Δμ,Δσ,total_variants,elite_count,non_elite_count,rejections,duplicates
15.0,LLMBasedParaphrasing,0.0,33.33,66.67,100.0,-0.1651,0.0,1.0,1.0,0.0,2.0,0.0
15.0,LLM_POSAwareSynonymReplacement,0.0,66.67,33.33,100.0,-0.1834,0.2379,2.0,2.0,0.0,1.0,0.0
15.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
15.0,NegationOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
15.0,POSAwareAntonymReplacement,0.0,66.67,33.33,100.0,-0.0795,0.0923,2.0,2.0,0.0,1.0,0.0
15.0,SemanticFusionCrossover,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
15.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0
15.0,StylisticMutator,0.0,33.33,66.67,100.0,-0.0161,0.0,1.0,1.0,0.0,2.0,0.0
15.0,TypographicalErrorsOperator,0.0,66.67,33.33,100.0,-0.0818,0.1227,2.0,2.0,0.0,1.0,0.0
16.0,ConceptAdditionOperator,0.0,33.33,66.67,100.0,-0.3085,0.0,1.0,1.0,0.0,2.0,0.0
16.0,InformedEvolutionOperator,0.0,66.67,33.33,100.0,-0.1031,0.1733,2.0,2.0,0.0,1.0,0.0
16.0,LLMBackTranslation_HI,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
16.0,LLMBasedParaphrasing,0.0,33.33,66.67,100.0,-0.3583,0.0,1.0,1.0,0.0,2.0,0.0
16.0,LLM_POSAwareSynonymReplacement,33.33,0.0,66.67,0.0,-0.1878,0.0,1.0,0.0,1.0,2.0,0.0
16.0,MLM,0.0,100.0,0.0,100.0,-0.1419,0.1945,3.0,3.0,0.0,0.0,0.0
16.0,NegationOperator,0.0,33.33,66.67,100.0,-0.0983,0.0,1.0,1.0,0.0,2.0,0.0
16.0,POSAwareAntonymReplacement,0.0,33.33,66.67,100.0,0.0833,0.0,1.0,1.0,0.0,2.0,0.0
16.0,SemanticFusionCrossover,0.0,66.67,33.33,100.0,-0.0798,0.0663,2.0,2.0,0.0,1.0,0.0
16.0,SemanticSimilarityCrossover,0.0,33.33,0.0,100.0,-0.1311,0.0,1.0,1.0,0.0,0.0,2.0
16.0,StylisticMutator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
16.0,TypographicalErrorsOperator,0.0,66.67,33.33,100.0,-0.1089,0.0908,2.0,2.0,0.0,1.0,0.0
17.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
17.0,InformedEvolutionOperator,0.0,0.0,66.67,0.0,,,0.0,0.0,0.0,2.0,1.0
17.0,LLMBackTranslation_HI,0.0,33.33,66.67,100.0,0.0032,0.0,1.0,1.0,0.0,2.0,0.0
17.0,LLMBasedParaphrasing,0.0,33.33,66.67,100.0,-0.0459,0.0,1.0,1.0,0.0,2.0,0.0
17.0,LLM_POSAwareSynonymReplacement,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
17.0,MLM,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
17.0,NegationOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
17.0,POSAwareAntonymReplacement,0.0,66.67,33.33,100.0,-0.1814,0.2082,2.0,2.0,0.0,1.0,0.0
17.0,SemanticFusionCrossover,0.0,33.33,66.67,100.0,-0.1776,0.0,1.0,1.0,0.0,2.0,0.0
17.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0
17.0,StylisticMutator,0.0,33.33,66.67,100.0,0.0085,0.0,1.0,1.0,0.0,2.0,0.0
17.0,TypographicalErrorsOperator,0.0,33.33,66.67,100.0,-0.0459,0.0,1.0,1.0,0.0,2.0,0.0
18.0,ConceptAdditionOperator,0.0,33.33,66.67,100.0,-0.1731,0.0,1.0,1.0,0.0,2.0,0.0
18.0,InformedEvolutionOperator,0.0,66.67,33.33,100.0,-0.194,0.0084,2.0,2.0,0.0,1.0,0.0
18.0,LLMBackTranslation_HI,0.0,66.67,33.33,100.0,-0.0738,0.0017,2.0,2.0,0.0,1.0,0.0
18.0,LLMBasedParaphrasing,0.0,33.33,66.67,100.0,-0.064,0.0,1.0,1.0,0.0,2.0,0.0
18.0,LLM_POSAwareSynonymReplacement,0.0,66.67,33.33,100.0,-0.0433,0.0547,2.0,2.0,0.0,1.0,0.0
18.0,MLM,0.0,66.67,33.33,100.0,0.0383,0.0214,2.0,2.0,0.0,1.0,0.0
18.0,NegationOperator,0.0,33.33,66.67,100.0,-0.0474,0.0,1.0,1.0,0.0,2.0,0.0
18.0,POSAwareAntonymReplacement,0.0,100.0,0.0,100.0,-0.0863,0.0807,3.0,3.0,0.0,0.0,0.0
18.0,SemanticFusionCrossover,0.0,33.33,66.67,100.0,-0.0918,0.0,1.0,1.0,0.0,2.0,0.0
18.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0
18.0,StylisticMutator,0.0,33.33,66.67,100.0,-0.0668,0.0,1.0,1.0,0.0,2.0,0.0
18.0,TypographicalErrorsOperator,0.0,66.67,33.33,100.0,-0.0816,0.0243,2.0,2.0,0.0,1.0,0.0
19.0,ConceptAdditionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
19.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
19.0,LLMBackTranslation_HI,0.0,33.33,66.67,100.0,-0.215,0.0,1.0,1.0,0.0,2.0,0.0
19.0,LLMBasedParaphrasing,0.0,33.33,66.67,100.0,-0.0177,0.0,1.0,1.0,0.0,2.0,0.0
19.0,LLM_POSAwareSynonymReplacement,0.0,66.67,33.33,100.0,-0.0278,0.0117,2.0,2.0,0.0,1.0,0.0
19.0,MLM,0.0,66.67,33.33,100.0,-0.0905,0.1314,2.0,2.0,0.0,1.0,0.0
19.0,NegationOperator,0.0,66.67,33.33,100.0,-0.1263,0.1276,2.0,2.0,0.0,1.0,0.0
19.0,POSAwareAntonymReplacement,0.0,33.33,66.67,100.0,-0.0211,0.0,1.0,1.0,0.0,2.0,0.0
19.0,SemanticFusionCrossover,0.0,33.33,66.67,100.0,0.0214,0.0,1.0,1.0,0.0,2.0,0.0
19.0,SemanticSimilarityCrossover,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0
19.0,StylisticMutator,33.33,66.67,0.0,66.67,-0.0763,0.1731,3.0,2.0,1.0,0.0,0.0
19.0,TypographicalErrorsOperator,33.33,0.0,66.67,0.0,-0.3237,0.0,1.0,0.0,1.0,2.0,0.0
20.0,ConceptAdditionOperator,0.0,33.33,66.67,100.0,-0.0171,0.0,1.0,1.0,0.0,2.0,0.0
20.0,InformedEvolutionOperator,0.0,0.0,100.0,0.0,,,0.0,0.0,0.0,3.0,0.0
20.0,LLMBackTranslation_HI,0.0,33.33,66.67,100.0,-0.0088,0.0,1.0,1.0,0.0,2.0,0.0
20.0,LLMBasedParaphrasing,0.0,66.67,33.33,100.0,-0.1176,0.1092,2.0,2.0,0.0,1.0,0.0
